# NOTE: Sample malware hash registry for offline demonstration. Replace with real CERT-In, VirusTotal, or Malpedia feeds in production.
sha256,malware_family,date_added
e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,NullDropper,2026-08-15
4a6f23b610c14b29d10e08f870503f898327ef3e9259bb7f10b501d51c360812,Cerberus Banking Trojan,2026-08-20
7d89b1c23ef890214c781190aa23450912ef34091245098124ef120934ef1209,FakeBank APK,2026-08-25
98a76bc43ef2109845cd7823ab123490ef781234bc56789012de3456789012ef,SharkBot Stealer,2026-09-01
a1b2c3d4e5f67890123456789abcdef0123456789abcdef0123456789abcdef0,Hydra Banker,2026-09-02
b2c3d4e5f6a17890123456789abcdef0123456789abcdef0123456789abcdef1,TeaBot Overlay,2026-09-03
c3d4e5f6a1b27890123456789abcdef0123456789abcdef0123456789abcdef2,Anatsa Banking Trojan,2026-09-04
d4e5f6a1b2c37890123456789abcdef0123456789abcdef0123456789abcdef3,Flubot SMS Worm,2026-09-05
e5f6a1b2c3d47890123456789abcdef0123456789abcdef0123456789abcdef4,Godfather Banker,2026-09-06
f6a1b2c3d4e57890123456789abcdef0123456789abcdef0123456789abcdef5,AgentTesla Stealer,2026-09-07
